caption,date,url
Metro Pedro de Valdivia prendiendo fuego en medio de las protestas,18/10/2019,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Fuego_en_el_metro_Pedro_de_Valdivia_%282019%29.jpg/1280px-Fuego_en_el_metro_Pedro_de_Valdivia_%282019%29.jpg
"Letrero anuncia cierre total de la red de Metro, ante disturbios ocurridos en la capital",18/10/2019,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Estaci%C3%B3n_cerrada_%282019%29.jpg/1280px-Estaci%C3%B3n_cerrada_%282019%29.jpg
"Militar hace guardia en Plaza Italia, el primer día del estado de excepción",19/10/2019,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Militar_en_Baquedano_%282019%29.jpg/1280px-Militar_en_Baquedano_%282019%29.jpg
"Militar patrulla el Paseo Ahumada montado en una tanqueta, el primer día del estado de excepción",19/10/2019,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Militares_en_el_Paseo_Ahumada_%282019%29.jpg/1280px-Militares_en_el_Paseo_Ahumada_%282019%29.jpg
Manifestantes sufren el efecto de los gases lacrimógenos lanzados por la policía,21/10/2019,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Manifestantes_cubren_rostro_%282019%29.jpg/1280px-Manifestantes_cubren_rostro_%282019%29.jpg
Manifestación es reprimida con gas lacrimógeno en Plaza Italia ,21/10/2019,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Resiste_%282019%29.jpg/1280px-Resiste_%282019%29.jpg
Barricadas a las afueras de la Biblioteca Nacional,23/10/2019,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Barricadas_y_El_Mercurio_%282019%29.jpg/1280px-Barricadas_y_El_Mercurio_%282019%29.jpg
Carabinero (policía) de Fuerzas Especiales persigue a manifestante en av. Providencia,21/10/2019,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Fuerzas_Especiales_en_av._Providencia_%282019%29.jpg/1280px-Fuerzas_Especiales_en_av._Providencia_%282019%29.jpg
Manifestante posa con la bandera del equipo de fútbol Colo-Colo,25/10/2019,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Colo_Colo_es_Chile_%282019%29.jpg/1280px-Colo_Colo_es_Chile_%282019%29.jpg
Cartel en medio de manifestaciones en Santiago,25/10/2019,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Ajustando_cuentas_%282019%29.jpg/1280px-Ajustando_cuentas_%282019%29.jpg
Manifestante muestra la herida producida por un balín disparado por Fuerzas Especiales de Carabineros,28/10/2019,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Herida_por_bal%C3%ADn_%282019%29.jpg/1280px-Herida_por_bal%C3%ADn_%282019%29.jpg
"Manifestante con cartel que dice ""Gracias por nada"" frente al Palacio de La Moneda",08/11/2019,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Gracias_por_nada_%282019%29.jpg/1280px-Gracias_por_nada_%282019%29.jpg
"Barricada en la Alameda, a pasos de la Casa Central de la Universidad de Chile",28/10/2019,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Barricada_en_la_Alameda_%282019%29.jpg/1280px-Barricada_en_la_Alameda_%282019%29.jpg
Manifestantes con bandera mapuche y del Colo-Colo en Plaza Italia,23/10/2019,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Banderas_Colo-Colo_y_Mapuche_en_Plaza_Italia_%282019%29.jpg/1280px-Banderas_Colo-Colo_y_Mapuche_en_Plaza_Italia_%282019%29.jpg
Manifestantes prenden una bengala durante una manifestación en Plaza Italia,12/11/2019,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Manifestaci%C3%B3n_con_bengala_en_Plaza_Italia_%282019%29.jpg/1280px-Manifestaci%C3%B3n_con_bengala_en_Plaza_Italia_%282019%29.jpg
Manifestantes en Plaza Italia,25/10/2019,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Manifestantes_en_Plaza_Italia_%282019%29.jpg/1280px-Manifestantes_en_Plaza_Italia_%282019%29.jpg
Payasos posan mostrando un envase de Mentholatum,04/11/2019,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Payasos_en_el_estallido_social_%282019%29.jpg/1280px-Payasos_en_el_estallido_social_%282019%29.jpg
Escombros dejados por las manifestaciones en Plaza Italia ,20/10/2019,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Escombros_en_Plaza_Italia_%282019%29.jpg/1280px-Escombros_en_Plaza_Italia_%282019%29.jpg
Piedras en el suelo de calle Vicuña Mackenna luego de un enfrentamiento entre manifestantes y Fuerzas Especiales de Carabineros,23/10/2019,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Piedras_en_Baquedano_%282019%29.jpg/1280px-Piedras_en_Baquedano_%282019%29.jpg
"Mujer cruza la Alameda a la altura del Palacio de La Moneda. Atrás una pared tiene escrito ""Evade como Piñera"".",19/10/2019,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Evade_como_Pi%C3%B1era_%282019%29.jpg/1280px-Evade_como_Pi%C3%B1era_%282019%29.jpg
